"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT5G16390",4.17345143871104e-107,1.06829804685904,0.658,0.021,8.5735212905441e-103
"AT2G40490",4.23066399506886e-107,1.65056434108707,0.67,0.025,8.69105304506997e-103
"AT2G13360",4.32833263024721e-107,1.59647452537896,0.996,0.256,8.89169372231685e-103
"AT5G30510",4.53945930126718e-107,1.34580934033797,0.989,0.226,9.32541124259316e-103
"AT2G45820",4.660665473853e-107,0.628080038356676,0.955,0.161,9.57440508293621e-103
"AT2G32650",4.96738039030054e-107,1.73844507783554,0.661,0.023,1.02044895357944e-102
"AT3G29240",5.07427445532535e-107,0.747707930955095,0.765,0.07,1.04240820135749e-102
"AT2G44870",5.63024879431452e-107,0.728748855004264,0.717,0.049,1.15662200981603e-102
"AT1G78900",5.90150322462594e-107,0.267234569407336,0.849,0.108,1.21234580743491e-102
"AT5G23140",6.53996481234366e-107,1.06855842776072,0.672,0.027,1.34350497139976e-102
"AT4G30760",6.66698178038477e-107,1.19108820386985,0.68,0.032,1.36959806714444e-102
"AT5G36160",6.9461437315659e-107,1.99623238394436,0.665,0.025,1.42694630677558e-102
"AT5G35170",9.22646864836698e-107,0.703699050361828,0.732,0.055,1.89539345443403e-102
"AT2G24860",9.74811453281368e-107,0.378160748222308,0.769,0.072,2.00255516847592e-102
"AT1G42960",1.09503870309356e-106,0.777719784837314,0.974,0.173,2.24953800776509e-102
"AT1G78915",1.15944262765667e-106,1.96621574387636,0.654,0.019,2.38184298999509e-102
"AT1G71080",1.26953008783314e-106,1.33740723227795,0.693,0.038,2.60799565943562e-102
"AT5G65310",1.38044916963254e-106,1.35207387312578,0.654,0.019,2.83585672917613e-102
"AT4G32060",1.38053412017958e-106,0.367249499761609,0.902,0.135,2.83603124308492e-102
"AT4G27600",1.41712771581303e-106,0.738531663964913,0.695,0.038,2.9112054665947e-102
"AT2G46400",1.48972239398043e-106,2.98305456890746,0.668,0.03,3.060336713954e-102
"AT5G23240",1.55635105614445e-106,0.364193741523148,0.777,0.076,3.19721197463755e-102
"AT1G74520",1.97071939616419e-106,0.416894800977445,0.79,0.082,4.0484488555401e-102
