,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,significant,p_val_adj_plot,gene,cluster
2522,2.50E-22,-0.261507511,0.73,0.786,5.14E-18,No,5.14E-18,AT3G52400,"0, 2, 3, 7, 9"
2523,2.51E-22,0.468323826,0.407,0.37,5.16E-18,No,5.16E-18,AT1G11930,"8, 11, 12, 13, 18"
2524,2.62E-22,0.575574071,0.345,0.301,5.38E-18,Yes,5.38E-18,AT3G07760,"8, 9, 11, 12, 13, 18"
2525,2.90E-22,-0.337180914,0.194,0.256,5.95E-18,No,5.95E-18,AT4G15930,"1, 4, 5, 11"
2526,3.03E-22,0.622364636,0.347,0.303,6.23E-18,Yes,6.23E-18,AT3G46560,"5, 8, 9, 10, 11, 12, 13"
2527,3.07E-22,-0.53015579,0.208,0.269,6.31E-18,Yes,6.31E-18,AT5G26030,"7, 17"
2528,3.96E-22,-0.331812685,0.552,0.604,8.14E-18,No,8.14E-18,AT4G34460,"0, 2, 3, 7, 9"
2529,4.04E-22,0.529901932,0.445,0.408,8.29E-18,Yes,8.29E-18,AT2G36170,"4, 5, 7, 9, 11, 13, 18"
2530,4.23E-22,0.605364553,0.304,0.261,8.69E-18,Yes,8.69E-18,AT5G11760,"8, 9, 10, 11, 12, 13"
2531,4.41E-22,0.438914425,0.353,0.306,9.05E-18,No,9.05E-18,AT1G17730,"0, 9, 10, 16"
2532,4.96E-22,0.436161024,0.453,0.416,1.02E-17,No,1.02E-17,AT5G42890,"1, 9, 10, 11, 13, 18"
2533,6.02E-22,0.337064229,0.467,0.426,1.24E-17,No,1.24E-17,AT4G09000,"0, 9, 10, 13"
2534,7.37E-22,-0.26986283,0.267,0.335,1.51E-17,No,1.51E-17,AT3G54900,"1, 4, 5, 8, 11"
2535,7.57E-22,-0.283169976,0.395,0.46,1.56E-17,No,1.56E-17,AT1G78020,"1, 4, 5, 11, 15"
2536,9.28E-22,0.496607509,0.266,0.216,1.91E-17,No,1.91E-17,AT3G11130,"0, 3, 6, 9, 10"
2537,1.01E-21,-0.304290156,0.328,0.4,2.08E-17,No,2.08E-17,AT3G25250,"2, 3, 6, 7, 9, 17"
2538,1.02E-21,0.510301627,0.386,0.347,2.09E-17,Yes,2.09E-17,AT3G01340,"1, 8, 9, 11, 13, 18"
2539,1.02E-21,0.625271315,0.311,0.267,2.10E-17,Yes,2.10E-17,AT3G50000,"7, 9, 11, 13, 18"
2540,1.05E-21,0.618035247,0.321,0.277,2.15E-17,Yes,2.15E-17,AT3G56210,"8, 9, 10, 12, 13, 18"
2541,1.26E-21,0.518761407,0.269,0.222,2.59E-17,Yes,2.59E-17,AT4G29660,"7, 9, 11, 12, 13"
2542,1.32E-21,0.585202606,0.277,0.229,2.71E-17,Yes,2.71E-17,AT5G46210,"8, 9, 10, 12, 13, 18"
2543,1.61E-21,-0.250885324,0.277,0.347,3.30E-17,No,3.30E-17,AT2G45990,"1, 4, 5, 11"
2544,2.16E-21,0.436005686,0.349,0.302,4.43E-17,No,4.43E-17,AT2G44200,"6, 9, 10, 12, 16, 17"
2545,2.82E-21,0.687074963,0.323,0.285,5.80E-17,Yes,5.80E-17,AT1G13820,"8, 11, 12, 13"
2546,2.88E-21,0.712728631,0.269,0.228,5.91E-17,Yes,5.91E-17,AT4G26860,"8, 11, 12, 13, 18"
2547,3.15E-21,0.77513392,0.334,0.293,6.46E-17,Yes,6.46E-17,AT4G04925,"8, 10, 11, 12, 13, 18"
2548,3.18E-21,-0.260716478,0.665,0.704,6.53E-17,No,6.53E-17,AT4G14880,"4, 7, 9, 18"
2549,3.32E-21,0.624549962,0.397,0.37,6.82E-17,Yes,6.82E-17,AT1G06040,"1, 11, 12, 13, 18"
2550,3.44E-21,0.585972136,0.306,0.264,7.07E-17,Yes,7.07E-17,AT3G19860,"8, 11, 12, 13"
2551,3.50E-21,-0.357244003,0.282,0.349,7.19E-17,No,7.19E-17,AT1G63770,"0, 2, 3, 10"
2552,4.64E-21,0.354374851,0.337,0.289,9.54E-17,No,9.54E-17,AT4G22260,"6, 7, 9, 10, 15"
2553,4.65E-21,0.322057742,0.539,0.511,9.55E-17,No,9.55E-17,AT4G01940,"1, 8, 11, 12, 13"
2554,5.28E-21,-0.381010343,0.521,0.568,1.08E-16,No,1.08E-16,AT5G58720,"0, 2, 3, 7"
2555,5.92E-21,-0.423332104,0.448,0.515,1.22E-16,No,1.22E-16,AT4G30440,"3, 6, 14, 16, 17"
2556,7.05E-21,0.260690231,0.345,0.297,1.45E-16,No,1.45E-16,AT5G35460,"3, 6, 9, 13, 14, 15, 18"
2557,7.34E-21,-0.388681229,0.647,0.695,1.51E-16,No,1.51E-16,AT3G01830,"0, 2, 3, 14"
2558,9.33E-21,-0.401114628,0.45,0.523,1.92E-16,No,1.92E-16,AT3G14690,"0, 3, 6, 7, 14"
2559,9.33E-21,-0.505938058,0.286,0.348,1.92E-16,Yes,1.92E-16,AT3G53180,"0, 2, 3, 10, 14"
2560,9.56E-21,0.717564964,0.312,0.27,1.96E-16,Yes,1.96E-16,AT3G13882,"4, 5, 8, 9, 11, 12, 13"
2561,1.11E-20,-0.398827576,0.873,0.897,2.28E-16,No,2.28E-16,AT5G49480,"0, 2, 3, 10"
2562,1.15E-20,-0.332144732,0.569,0.613,2.36E-16,No,2.36E-16,AT1G19310,"0, 2, 5, 7, 12"
2563,1.36E-20,0.698642098,0.266,0.221,2.80E-16,Yes,2.80E-16,AT5G16440,"6, 7, 9, 10, 11, 13"
2564,1.66E-20,-0.294381998,0.287,0.354,3.40E-16,No,3.40E-16,AT2G37920,"1, 4, 8"
2565,1.72E-20,0.572628407,0.293,0.248,3.53E-16,Yes,3.53E-16,AT3G59920,"9, 10, 13, 16, 18"
2566,1.74E-20,0.377875328,0.62,0.592,3.57E-16,No,3.57E-16,AT4G12720,"9, 13, 17"
2567,2.45E-20,-0.31033131,0.464,0.519,5.03E-16,No,5.03E-16,AT2G39000,"1, 4, 5, 13"
2568,2.50E-20,0.594086178,0.306,0.262,5.14E-16,Yes,5.14E-16,AT3G55610,"7, 8, 9, 11, 13, 18"
2569,2.60E-20,0.911041601,0.38,0.346,5.34E-16,Yes,5.34E-16,AT3G23170,"9, 10, 12, 17"
2570,2.72E-20,0.369061355,0.408,0.37,5.58E-16,No,5.58E-16,AT4G13530,"1, 9, 10, 11, 13, 18"
2571,3.06E-20,-0.495617807,0.22,0.279,6.28E-16,No,6.28E-16,AT5G24030,"0, 2, 3, 6, 10, 14"
2572,3.18E-20,0.597756941,0.314,0.271,6.52E-16,Yes,6.52E-16,AT1G49410,"8, 9, 11, 13"
2573,3.53E-20,0.301398788,0.494,0.459,7.26E-16,No,7.26E-16,AT1G63090,"2, 3, 6, 7, 12, 16, 17"
2574,3.57E-20,0.484040846,0.41,0.372,7.34E-16,No,7.34E-16,AT2G36530,"4, 9, 10, 13, 15"
2575,3.66E-20,-0.302636046,0.326,0.394,7.52E-16,No,7.52E-16,AT1G76730,"1, 3, 4, 5"
2576,3.67E-20,0.461229832,0.42,0.374,7.54E-16,No,7.54E-16,AT2G36950,"0, 6, 7, 10, 12, 16, 17"
2577,3.83E-20,-0.303657136,0.623,0.669,7.86E-16,No,7.86E-16,AT4G39260,"1, 4, 7, 17, 18"
2578,3.86E-20,0.87903835,0.319,0.28,7.93E-16,Yes,7.93E-16,AT1G72940,"6, 7, 8, 11, 13, 17"
2579,3.96E-20,0.675902668,0.289,0.246,8.13E-16,Yes,8.13E-16,AT5G67220,"4, 5, 8, 9, 11, 12, 13"
2580,4.49E-20,0.38821031,0.466,0.434,9.22E-16,No,9.22E-16,AT1G23290,"4, 9, 10, 11, 13, 18"
2581,5.52E-20,0.367578046,0.515,0.471,1.13E-15,No,1.13E-15,AT2G39460,"4, 5, 9, 11, 13"
2582,5.66E-20,0.553028792,0.362,0.319,1.16E-15,Yes,1.16E-15,AT4G29410,"4, 5, 9, 11, 13"
2583,6.20E-20,0.419826155,0.282,0.235,1.27E-15,No,1.27E-15,AT5G35690,"0, 9, 10"
2584,6.43E-20,-0.356011703,0.434,0.506,1.32E-15,No,1.32E-15,AT3G62720,"3, 6, 14"
2585,6.78E-20,0.516504666,0.305,0.263,1.39E-15,Yes,1.39E-15,AT5G63460,"0, 9, 10, 11, 12, 13"
2586,7.21E-20,-0.271248873,0.345,0.407,1.48E-15,No,1.48E-15,AT3G47860,"1, 4, 5, 11, 13"
2587,7.44E-20,-0.518753798,0.48,0.539,1.53E-15,Yes,1.53E-15,AT1G73080,"0, 6, 10, 14"
2588,7.80E-20,0.655632872,0.298,0.258,1.60E-15,Yes,1.60E-15,AT2G46550,"4, 8, 9, 11, 12, 13, 18"
2589,7.88E-20,0.433339172,0.317,0.277,1.62E-15,No,1.62E-15,AT5G40810,"8, 9, 11, 13, 18"
2590,9.10E-20,-0.562836009,0.631,0.673,1.87E-15,Yes,1.87E-15,AT3G12740,"0, 3, 6, 14"
2591,9.33E-20,0.485104505,0.307,0.264,1.92E-15,No,1.92E-15,AT4G34070,"8, 9, 11, 12, 13, 16, 18"
2592,9.56E-20,0.318963601,0.308,0.259,1.96E-15,No,1.96E-15,AT3G22380,"0, 3, 6, 10, 12, 14, 16"
2593,1.30E-19,0.625410593,0.254,0.209,2.68E-15,Yes,2.68E-15,AT5G45430,"7, 9, 12, 16, 17"
2594,1.33E-19,-0.279485808,0.384,0.449,2.74E-15,No,2.74E-15,AT5G60680,"0, 2, 7, 8, 12"
2595,1.34E-19,0.372334148,0.436,0.397,2.76E-15,No,2.76E-15,AT1G77180,"0, 6, 8, 9, 12, 15, 16, 18"
2596,1.49E-19,-0.336985277,0.269,0.334,3.05E-15,No,3.05E-15,AT2G44060,"3, 7, 9, 16, 18"
2597,1.62E-19,-0.253607053,0.518,0.578,3.34E-15,No,3.34E-15,AT3G15730,"1, 3, 7, 9, 18"
2598,1.72E-19,0.320255858,0.453,0.419,3.53E-15,No,3.53E-15,AT1G64040,"0, 2, 9, 10, 13, 15"
2599,1.81E-19,0.342127785,0.595,0.563,3.71E-15,No,3.71E-15,AT2G23340,"2, 5, 12, 17, 18"
2600,1.85E-19,-0.355725773,0.197,0.254,3.79E-15,No,3.79E-15,AT1G50600,"2, 7, 16, 17"
2601,1.99E-19,0.610151869,0.25,0.206,4.08E-15,Yes,4.08E-15,AT4G22570,"1, 7, 11, 12"
2602,2.33E-19,0.514769246,0.421,0.389,4.79E-15,Yes,4.79E-15,AT3G22110,"8, 9, 11, 13"
2603,2.91E-19,0.362553244,0.468,0.435,5.98E-15,No,5.98E-15,AT5G52200,"9, 10, 12, 13"
2604,3.09E-19,0.529679601,0.339,0.303,6.35E-15,Yes,6.35E-15,AT2G34160,"9, 10, 11, 12, 13"
2605,4.51E-19,0.454968621,0.323,0.284,9.27E-15,No,9.27E-15,AT1G72170,"8, 11, 12, 13"
