"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"AT5G43500",0.0270409961483655,-0.211669665200559,0.02,0.027,1,"AT5G43500","No"
"AT1G51360",0.0270449878220758,0.25907112920647,0.151,0.177,1,"AT1G51360","No"
"AT5G45275",0.0271193253660923,-0.317542737704483,0.01,0.015,1,"AT5G45275","No"
"AT3G07890",0.0271706930946324,0.572547161898761,0.133,0.122,1,"AT3G07890","No"
"AT3G05660",0.0272577496974267,0.261034005260019,0.031,0.04,1,"AT3G05660","No"
"AT2G43780",0.0273458998065429,0.556828089040303,0.176,0.167,1,"AT2G43780","No"
"AT1G06150",0.0274251109222212,0.400085765016338,0.051,0.063,1,"AT1G06150","No"
"AT4G29330",0.02743308527535,0.722062475551547,0.053,0.044,1,"AT4G29330","No"
"AT1G71210",0.0274713648249187,1.40083217472195,0.012,0.008,1,"AT1G71210","No"
"AT2G27710",0.0274936584718574,0.42355022219815,0.576,0.627,1,"AT2G27710","No"
"AT4G25520",0.02752901795577,0.661119524518073,0.141,0.129,1,"AT4G25520","No"
"AT1G30720",0.0275362478113878,-0.268130482628006,0.034,0.043,1,"AT1G30720","No"
"AT3G03940",0.0275573457652464,0.701442135479795,0.158,0.149,1,"AT3G03940","No"
"AT3G09360",0.0275836150243516,0.648739573267289,0.086,0.075,1,"AT3G09360","No"
"AT2G20850",0.0276956237531252,-0.945395249220144,0.011,0.016,1,"AT2G20850","No"
"AT1G79340",0.0277558337280299,0.34751612110044,0.508,0.543,1,"AT1G79340","No"
"AT5G64300",0.0277870263700132,0.358057011345381,0.481,0.496,1,"AT5G64300","No"
"AT2G14835",0.0280861229848707,0.528621300219347,0.203,0.197,1,"AT2G14835","No"
"AT1G17050",0.028111073770583,0.293750387395455,0.065,0.078,1,"AT1G17050","No"
"AT5G58030",0.028178795702185,0.499094966297198,0.357,0.372,1,"AT5G58030","No"
"AT3G09470",0.0282199655332487,0.173518797998019,0.303,0.352,1,"AT3G09470","No"
"AT2G02960",0.0283328765727996,0.167837591270653,0.392,0.448,1,"AT2G02960","No"
"AT5G43400",0.0284313213930571,1.39645739838651,0.015,0.01,1,"AT5G43400","No"
"AT1G13350",0.0286081098689502,0.404543866278587,0.347,0.347,1,"AT1G13350","No"
"AT1G07200",0.0286321920776025,-0.2525639606056,0.022,0.03,1,"AT1G07200","No"
"AT5G66860",0.0286483595518032,0.576252119024468,0.215,0.208,1,"AT5G66860","No"
"AT3G26850",0.0286905913815447,-0.166871761656887,0.016,0.023,1,"AT3G26850","No"
"AT2G30870",0.0287221959290993,0.522256690436127,0.655,0.718,1,"AT2G30870","No"
"AT2G43060",0.0287318953291577,0.617212601387096,0.026,0.019,1,"AT2G43060","No"
"AT1G60670",0.0287999518014322,0.779013549190958,0.074,0.064,1,"AT1G60670","No"
"AT5G08600",0.028900242552342,-0.147877709614352,0.007,0.012,1,"AT5G08600","No"
"AT4G02100",0.0291918727060315,-0.694798671582236,0.006,0.01,1,"AT4G02100","No"
"AT3G47950",0.0292287958945845,-0.4464402484386,0.006,0.01,1,"AT3G47950","No"
"AT3G06620",0.0294813350867153,0.556491147254521,0.134,0.122,1,"AT3G06620","No"
"AT4G25440",0.0297043174520841,0.640415934364452,0.102,0.091,1,"AT4G25440","No"
"AT1G03110",0.0297476927816327,-0.105467139790528,0.021,0.028,1,"AT1G03110","No"
"AT4G24560",0.0297847613837559,0.744827043436582,0.076,0.066,1,"AT4G24560","No"
"AT4G17790",0.0298546056136576,0.157773486101588,0.203,0.232,1,"AT4G17790","No"
"AT2G47920",0.0298761189800242,-0.294241010281644,0.007,0.011,1,"AT2G47920","No"
"AT5G55500",0.02993810423506,0.966531221171853,0.022,0.016,1,"AT5G55500","No"
"AT3G02750",0.0300004083406469,0.377903165082848,0.353,0.353,1,"AT3G02750","No"
"AT4G00930",0.0300250092191049,-0.144519197378369,0.028,0.036,1,"AT4G00930","No"
"AT3G33520",0.0300559031678208,0.132704454189486,0.094,0.11,1,"AT3G33520","No"
"AT2G15695",0.030121342067948,0.483355642077482,0.211,0.203,1,"AT2G15695","No"
"AT5G41000",0.030181097869842,-0.288797979040996,0.009,0.014,1,"AT5G41000","No"
"AT3G18295",0.0302025844877246,0.204325817846074,0.047,0.058,1,"AT3G18295","No"
"AT2G17670",0.0302176298522828,-0.17441057560455,0.014,0.02,1,"AT2G17670","No"
"AT2G20625",0.0302436559064787,0.188752254066513,0.048,0.059,1,"AT2G20625","No"
"AT2G41310",0.0302464923827341,0.60371398672721,0.083,0.073,1,"AT2G41310","No"
"AT5G57020",0.0303536737658958,0.271378481609837,0.302,0.35,1,"AT5G57020","No"
"AT5G04220",0.0303549215392354,0.668777789491541,0.136,0.125,1,"AT5G04220","No"
"AT3G11690",0.0304823424380356,0.738611924491957,0.046,0.038,1,"AT3G11690","No"
"AT5G64600",0.0305947709313588,0.286510376537877,0.037,0.047,1,"AT5G64600","No"
"AT5G56310",0.0306039032355145,-0.11487772546924,0.007,0.011,1,"AT5G56310","No"
"AT3G11070",0.0306771607982422,0.277596468608046,0.073,0.087,1,"AT3G11070","No"
"AT5G57950",0.030697734228418,0.679996674972589,0.135,0.125,1,"AT5G57950","No"
"AT5G49470",0.0307795840228946,0.854215704246741,0.043,0.034,1,"AT5G49470","No"
"AT1G77120",0.0308245771901673,-0.428595190118642,0.016,0.023,1,"AT1G77120","No"
"AT4G12670",0.0308309579246981,0.347154606384627,0.035,0.045,1,"AT4G12670","No"
"AT2G42700",0.0308316563642447,0.987733946758282,0.049,0.04,1,"AT2G42700","No"
"ATMG00670",0.0308688325120865,1.07885429541286,0.016,0.011,1,"ATMG00670","No"
"AT1G24280",0.0310295952901691,-0.625108320227838,0.009,0.014,1,"AT1G24280","No"
"AT3G52710",0.0311264755113721,0.369253204605791,0.267,0.261,1,"AT3G52710","No"
"AT1G33390",0.0311711207114781,1.48640133032919,0.025,0.019,1,"AT1G33390","No"
"AT2G40150",0.0312241212816813,-0.225424539045528,0.014,0.02,1,"AT2G40150","No"
"AT1G65580",0.0312451854681666,0.598167851450544,0.187,0.179,1,"AT1G65580","No"
"AT1G80320",0.0313175187454737,1.37547243867316,0.014,0.009,1,"AT1G80320","No"
"AT4G35580",0.0313227740459727,0.59142320229011,0.205,0.199,1,"AT4G35580","No"
"AT2G43760",0.0313234734916265,0.272789967979911,0.289,0.337,1,"AT2G43760","No"
"AT4G15800",0.0313324684324135,0.188768280653095,0.453,0.516,1,"AT4G15800","No"
"AT3G60740",0.0313782023263839,-0.487737098376484,0.01,0.016,1,"AT3G60740","No"
"AT5G14050",0.031577755618987,0.766814732159484,0.052,0.043,1,"AT5G14050","No"
"AT5G14030",0.0316319819470053,0.166583116141218,0.614,0.694,1,"AT5G14030","No"
"AT3G06330",0.0317870092550186,0.797287522877578,0.121,0.111,1,"AT3G06330","No"
"AT4G26600",0.0318171807553184,0.596255638376368,0.01,0.006,1,"AT4G26600","No"
"AT3G46820",0.0318818271372082,0.664112205484205,0.085,0.074,1,"AT3G46820","No"
"AT1G26665",0.0319353861983359,0.467649898663016,0.426,0.455,1,"AT1G26665","No"
"AT3G18520",0.031951466222382,0.815985622646986,0.148,0.139,1,"AT3G18520","No"
"AT4G04925",0.0320810794771853,0.471098156841999,0.388,0.454,1,"AT4G04925","No"
"AT3G06290",0.0321458231848433,0.871096209381959,0.065,0.056,1,"AT3G06290","No"
"AT1G78290",0.0322361619184103,0.360308190531285,0.023,0.017,1,"AT1G78290","No"
"AT2G34970",0.0322380201240029,0.589074808124437,0.049,0.06,1,"AT2G34970","No"
"AT3G07520",0.0322806523513084,1.33820195039762,0.019,0.014,1,"AT3G07520","No"
"AT2G02880",0.032299246727251,0.28077456347491,0.038,0.048,1,"AT2G02880","No"
"AT3G08550",0.0323830326788267,0.30014066144137,0.133,0.154,1,"AT3G08550","No"
